k_alpha,k_epsilon,epsilon_0,cumulative_mean,mean,std,max,min,median
1e-07,1e-06,0.2,13.821253830262036,132.36454983166234,155.91988176186007,316.8854031662065,-476.02534895517914,212.84289059301489
5e-06,1e-06,0.2,17.76297154891662,130.29639790466584,146.92010101285828,290.2404206042178,-439.297260803543,200.62862308514593
0.0001,1e-06,0.2,-27.00713745400584,35.862620554441094,190.32790689649832,278.48997204529985,-581.1668278336849,23.94007348761604
1e-07,5e-06,0.2,52.979511032535235,111.93274370453375,153.80329353932405,294.40677052053184,-405.0111419411012,196.0305880103119
5e-06,5e-06,0.2,40.05019056229987,130.21214775416576,152.54956231506833,295.9983369123746,-411.82214543866735,212.1998587153227
0.0001,5e-06,0.2,-13.382503759214748,39.97796762480719,183.7150127112528,284.79611794343646,-586.7549168581788,11.365515617690193
1e-07,1e-05,0.2,36.61552658391366,95.29480239688165,163.24164840701968,321.9740168688862,-526.7302115878042,184.84503631998132
5e-06,1e-05,0.2,56.84391919300475,105.63499220943784,150.53927744775024,287.86632600670674,-423.84270806763163,186.28281916172648
0.0001,1e-05,0.2,8.715361991639554,56.206378037934364,180.55672975469497,307.12420038040125,-465.4193772344401,35.258711378929206
1e-07,0.0001,0.2,48.83837042508381,105.8664105316713,146.96736745402444,300.76779163684415,-497.7987245676967,180.9572893367723
5e-06,0.0001,0.2,50.06129175103795,91.98489972873864,159.7458837352715,298.2651303109902,-503.2079363148901,173.3033939317097
0.0001,0.0001,0.2,17.402567251224674,62.59722684269999,173.87315969135355,296.0451979142199,-628.2417381541535,158.42147122292351
1e-07,1e-06,0.5,-45.11186736568016,39.0838076631735,194.4504103917702,298.4137748295202,-492.7000706193307,40.54370323960396
5e-06,1e-06,0.5,-42.06868642773952,-106.42904371549122,246.31415474445333,301.42556704341894,-1295.9458176050182,-118.07454464894403
0.0001,1e-06,0.5,-78.83378249897211,7.870551492420982,200.94634016691273,291.7845556934767,-1602.8406918930827,-25.090966881337096
1e-07,5e-06,0.5,31.98242325975705,102.35262879815272,162.7081687386792,301.5964715761247,-487.1079383509092,190.47944182064006
5e-06,5e-06,0.5,35.119639415021986,124.12742747467243,173.3926556148262,294.50770503189426,-567.9495963176573,213.4345799324157
0.0001,5e-06,0.5,-24.971731777899453,36.422562382770714,186.6606312273749,283.6835951406939,-569.6482193367106,70.24036319688082
1e-07,1e-05,0.5,35.383006798621395,130.2013051355259,147.57980778340726,295.4838315153629,-482.6807594682017,201.22844415973515
5e-06,1e-05,0.5,48.07648882352958,161.76621239565415,138.53267875244333,297.6743181748164,-499.77233828400506,219.83424870629142
0.0001,1e-05,0.5,-2.5525361132063233,70.67663086221239,176.51819737045636,301.1694388749961,-459.0558778148928,153.3949456658047
1e-07,0.0001,0.5,53.00316589786062,128.12667532267048,148.05617123233398,297.4082621842138,-435.6709858005994,203.8223486133927
5e-06,0.0001,0.5,39.80862822694456,97.85400905235743,166.1564108766217,295.17003742141634,-452.28214958662403,186.3437084480633
0.0001,0.0001,0.5,-20.044123623244424,20.880083493174183,186.20821789555512,299.8464596277673,-827.3531218455611,-7.556174588533736
