lambda,k_alpha,k_epsilon,epsilon_0,cumulative_mean,mean,std,max,min,median
0,1e-07,1e-07,0.2,-14.878386471417475,-10.333462562172576,448.58285777850114,297.7656067089616,-9595.142375682013,11.800362888699269
0,0.0001,1e-07,0.2,-16.698624125164702,68.16315962527506,180.25755498123021,290.7033991439274,-611.425766859413,175.20432666738319
0,1e-07,0.0001,0.2,60.27990699981192,106.6656246929118,164.82379803079152,294.3861277985628,-595.727018241828,201.71826371864623
0,0.0001,0.0001,0.2,18.2421254333692,58.011896076822005,191.12580039766925,304.503573900827,-587.5003151388762,131.99556530213502
0,1e-07,1e-07,0.5,-74.7586718473013,-65.95446594789385,94.40270208787652,281.2115319775308,-640.1444050812173,-61.486740259979
0,0.0001,1e-07,0.5,-66.87327613348236,-96.13656911227022,252.07409924974493,296.0365686288783,-2497.1577786599323,-66.18116284083959
0,1e-07,0.0001,0.5,27.29613932759286,88.25752263430093,157.12907608784332,293.2356512522282,-520.6211941878341,168.28688699587175
0,0.0001,0.0001,0.5,29.055775457656637,65.63283294100536,184.08058226124535,294.15551122270796,-634.0509347142292,159.80465242270515
0.5,1e-07,1e-07,0.2,-13.283976179746258,59.79190047634778,267.79636244257284,293.4400330142798,-5294.749600015499,58.25004716166002
0.5,0.0001,1e-07,0.2,14.572087486622053,65.9193464881669,183.1071997839648,297.44059972995285,-596.855505650348,160.6509782585289
0.5,1e-07,0.0001,0.2,83.47269824757014,79.50538314671523,121.83583601309692,279.7702102001583,-493.40624005652194,60.411062655486205
0.5,0.0001,0.0001,0.2,57.443099670110065,87.97972250065047,166.07172110131015,294.2403956837946,-678.0137910773603,167.08520880628578
0.5,1e-07,1e-07,0.5,-76.83124204076417,-68.91309867680664,104.12104214314718,287.5415717596003,-1339.250945147158,-62.440181164687964
0.5,0.0001,1e-07,0.5,-62.36810167149469,-45.177021560151644,334.6683226237024,293.34191461464417,-6987.307488198312,-18.66308599614834
0.5,1e-07,0.0001,0.5,74.17943395065033,115.3427364772835,135.8474959878971,288.42928593328935,-346.62817661466954,188.8317181176841
0.5,0.0001,0.0001,0.5,70.8938780618374,110.92243310528247,154.3393887034963,314.6561663720822,-553.1060853797508,193.12381892022148
0.8,1e-07,1e-07,0.2,-46.90733672962811,-103.34062740407057,317.60108002716595,282.0519456536257,-7283.5868200395735,-66.7117578827321
0.8,0.0001,1e-07,0.2,2.6484678336499448,16.46593095293222,439.6724784727497,305.9140451291429,-5105.000974209184,23.488484945632003
0.8,1e-07,0.0001,0.2,73.29483205079394,64.42220144416896,145.53541590011002,310.7199622078132,-406.71406390604426,8.533848478814157
0.8,0.0001,0.0001,0.2,112.12386912545402,140.53871865508393,143.66378055027252,316.82471960111957,-480.84948434749936,220.18791152876187
0.8,1e-07,1e-07,0.5,-84.51983123741019,-86.25424529002564,251.30477680753822,292.8183797413671,-5699.408724490808,-61.66694443201219
0.8,0.0001,1e-07,0.5,-67.02059921797019,-132.91776729564933,775.296729713754,287.0667359653313,-11395.842378559617,-8.858321021798524
0.8,1e-07,0.0001,0.5,52.929317299597926,115.11435703091894,143.79519893863844,312.3691970178551,-437.8709350121127,169.40697457819942
0.8,0.0001,0.0001,0.5,74.21932007558559,120.13344774243,142.07901871488264,317.52196899471767,-387.9602145965778,189.9928139713192
